source_id,authors,title,year,publication,doi_or_url,source_type,research_area,method,dataset,vehicle,fault_type,uncertainty_method,evaluation_metrics,key_result,limitation,relevance_to_AURA,possible_gap,verification
LIT-0057,(authors not verified),Architecting Safer Autonomous Aviation Systems,2023,arXiv:2301.08138,https://arxiv.org/pdf/2301.08138,preprint,assured-autonomy,safety architecture analysis,n/a,aviation,n/a,n/a,n/a,Architectural patterns for safer autonomous aviation,Position paper,Context for AURA's system framing,n/a,SEARCH_METADATA
LIT-0058,Basich C.; Svegliato J.; Wray K.H.; Witwicki S.; Biswas J.; Zilberstein S.,Learning to Optimize Autonomy in Competence-Aware Systems,2020,AAMAS 2020 / arXiv:2003.07745,https://arxiv.org/pdf/2003.07745,conference,competence-aware-autonomy,competence-aware MDP; autonomy level selection,simulation,autonomous vehicle,n/a,competence model,cost; interventions,A system can learn when to request human assistance,No sensor faults; no calibration study,Formal precedent for autonomy-level selection under competence,Competence estimates not validated against analytic ground truth,SEARCH_METADATA
LIT-0059,Conlon N.; Ahmed N.; Szafir D. et al.,A Good Bot Always Knows Its Limitations: Assessing Autonomous System Decision-making Competencies through Factorized Machine Self-confidence,2024,arXiv:2407.19631,https://arxiv.org/html/2407.19631v1,preprint,competence-aware-autonomy,factorized machine self-confidence,simulation,autonomous systems,n/a,factored self-confidence,self-confidence metrics,Self-confidence can be decomposed into interpretable factors,Not applied to fault diagnosis,Supports AURA's claim that a scalar confidence is insufficient,Factorized self-confidence never applied to diagnostic ambiguity vs novelty,SEARCH_METADATA
LIT-0060,Sriram N.N.; Biswas J. et al.,Competence-Aware Path Planning via Introspective Perception,2021,arXiv:2109.13974,https://arxiv.org/pdf/2109.13974,preprint,competence-aware-autonomy,introspective perception,robot navigation,ground robot,perception failures,introspective competence,failure rate,A robot can learn where its perception fails and plan around it,Perception domain only,Analogue of AURA's self-aware diagnosis idea in another domain,Not transferred to estimation/diagnosis in flight,SEARCH_METADATA
LIT-0061,(authors not verified),Adaptive Kalman Filter-Based Sensor Fault Detection Isolation and Accommodation for B-747 Aircraft,2023,Springer book chapter,https://link.springer.com/chapter/10.1007/978-3-031-29933-9_6,chapter,aircraft-FDI,adaptive Kalman filtering,simulation,B-747 lateral dynamics,sensor faults,adaptive noise covariance,estimation error,AKF accommodates sensor faults in lateral dynamics,Linearised lateral model only,Simple accommodation baseline,n/a,SEARCH_METADATA
LIT-0062,(authors not verified),Hybrid State Estimation for Aircraft Engine Anomaly Detection and Fault Accommodation,2020,AIAA Journal,https://arc.aiaa.org/doi/10.2514/1.J059044,journal,MMAE,hybrid state estimation,engine,turbofan,component faults,none,detection,Hybrid estimation improves engine anomaly detection,Engine domain,Estimation-coupled diagnosis precedent,n/a,SEARCH_METADATA
LIT-0063,(authors not verified),Performance metrics for fault detection and isolation filters,(not verified),(not verified),https://www.researchgate.net/publication/224254257,unknown,FDI-metrics,metric definitions,n/a,n/a,n/a,n/a,FAR; MFR; DR; IR; WIR; detection delay,Standard FDI metric definitions,Metadata unverified,Metric vocabulary for AURA,Standard FDI metrics contain no uncertainty-quality term,TITLE_URL_ONLY
LIT-0064,(authors not verified),Fault Detection and Isolation of aircraft air data/inertial system,(not verified),EUCASS,https://www.eucass.eu/component/docindexer/?task=download&id=4351,conference,aircraft-FDI,air data/inertial FDI,simulation,aircraft,ADS/IMU faults,none,FAR; MFR,Combined air data and inertial FDI,Metadata unverified,Sensor-suite precedent (ADS + IMU) for AURA,n/a,TITLE_URL_ONLY
LIT-0065,(authors not verified),Sensor fault detection and reconstruction system for commercial aircrafts,(not verified),The Aeronautical Journal,https://www.cambridge.org/core/journals/aeronautical-journal/article/abs/sensor-fault-detection-and-reconstruction-system-for-commercial-aircrafts/2CFE8FADF43EB5A7C22029F2A7605985,journal,aircraft-FDI,ANFIS/ANN reconstruction,simulation,commercial aircraft,sensor faults,none,reconstruction error,Sensor signal reconstruction after fault,No UQ,Accommodation precedent,n/a,TITLE_URL_ONLY
LIT-0066,(authors not verified),Framework for Offline Data-Driven Aircraft Fault Diagnosis,2023,Journal of Aerospace Information Systems,https://arc.aiaa.org/doi/10.2514/1.I011253,journal,aircraft-FDI,offline data-driven diagnosis framework,flight data,aircraft,system faults,none,diagnosis metrics,Structured offline data-driven diagnosis pipeline,Offline; no uncertainty,Pipeline precedent in a venue AURA would plausibly target,No online uncertainty or abstention,SEARCH_METADATA
LIT-0067,Blanke M. et al. (eds.),Structural Analysis (chapter),2024,Diagnosis and Fault-tolerant Control 1 (Wiley),https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119882329.ch2,chapter,structural-diagnosability,structural analysis reference,n/a,generic,generic,none,isolability,Reference treatment of structural analysis,Textbook chapter,Methodological reference,n/a,TITLE_URL_ONLY
LIT-0068,(authors not verified),Test Selection for Diagnosing Multimode Systems (short paper),2024,DX 2024; OASIcs,https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.DX.2024.28,workshop,structural-diagnosability,test selection across operating modes,n/a,generic,generic,none,isolability,Diagnosis test selection depends on the operating mode,Short paper,MODE-DEPENDENT diagnosability directly supports AURA's regime-shift framing,Mode-dependent isolability not connected to learned uncertainty,SEARCH_METADATA
LIT-0069,(authors not verified),Uncertainty Quantification for Full-Flight Data Based Engine Fault Detection with Neural Networks,2022,(venue not verified),https://www.researchgate.net/publication/363851257,unknown,uncertainty-aware-diagnosis,MC dropout + OOD detection,full-flight engine data,commercial engine,engine faults,MC dropout; OOD,TPR at low FPR; response time,UQ reportedly improved true positives ~2.8x at low FPR vs aleatoric-only,Metadata unverified; engine domain,Rare AEROSPACE example of UQ improving detection; must be verified before citing,No aircraft-level (flight dynamics) equivalent exists,TITLE_URL_ONLY
LIT-0070,(authors not verified),An online learning framework for aero-engine sensor fault detection isolation and recovery,2025,Aerospace Science and Technology,https://www.sciencedirect.com/science/article/abs/pii/S1270963825003128,journal,aircraft-FDI,online learning FDIR,engine,aero-engine,sensor faults,none,detection; recovery,Online adaptation for engine sensor FDIR,Engine; no UQ,Online adaptation is the main alternative to uncertainty-based abstention,Online learning vs abstention never compared under shift,SEARCH_METADATA
